294187,Astrea,Future,2,4
294186,Future,GAMETIME,3,2
294185,Astrea,Cuddlebear,3,0
294513,Lambo,INnoVation,0,3
294512,Maru,Neeb,3,0
294511,DnS,Scarlett,0,3
294510,Serral,Dark.Sc2,3,1
294509,INnoVation,Rail,3,1
294508,PtitDrogo,Lambo,0,3
294522,Awers,Vanya,1,2
294520,Kas,Awers,2,1
294521,Bee.Sc2,Vanya,0,2
294519,Awers,Vanya,2,0
294518,Kas,Bee.Sc2,2,0
294507,Neeb,Reynor,3,2
294506,Maru,Elazer,3,0
294505,Scarlett,SpeCial.Sc2,3,1
294504,SortOf,DnS,2,3
294503,Dark.Sc2,TooDming,3,0
294502,MaNa,Serral,1,3
294500,Damrud,Early,4,5
293513,Rail,Demigod,2,0
293490,TooDming,GogojOey,2,0
293512,SortOf,TIME.sc2,2,0
293506,Demigod,SortOf,0,2
293498,GogojOey,INnoVation,0,2
293492,eGGz,Stephano,0,2
293491,INnoVation,Yohilo,2,0
293489,Stephano,Yohilo,2,0
293484,TooDming,eGGz,2,0
293477,Seventy91,DnS,0,2
293476,EnDerr,MacSed,0,2
293475,Scarlett,Bly,2,0
293473,Seventy91,Bly,0,2
293472,Scarlett,EnDerr,2,0
293456,iAsonu,PtitDrogo,0,2
293506,Demigod,SortOf,0,2
293489,Stephano,Yohilo,2,0
293457,Probe,PSiArc,2,0
293493,TooDming,Yohilo,2,0
293466,Probe,Ryu.sc2,2,0
293467,iAsonu,Reynor,0,2
293468,PtitDrogo,PSiArc,2,0
293495,INnoVation,eGGz,2,0
293481,Scarlett,DnS,2,0
293480,EnDerr,Seventy91,2,0
293465,PSiArc,Reynor,0,2
293464,PtitDrogo,Ryu.sc2,2,0
293474,DnS,MacSed,2,0
293503,TIME.sc2,Rail,0,2
293504,Kelazhur,SortOf,1,2
293494,GogojOey,Stephano,2,0
293463,Probe,iAsonu,1,2
293510,Demigod,TIME.sc2,0,2
293488,eGGz,GogojOey,0,2
293471,MacSed,Bly,0,2
293483,Bly,EnDerr,2,1
293501,SortOf,Rail,2,0
293485,Stephano,INnoVation,0,2
293455,Ryu.sc2,PSiArc,2,0
293497,Yohilo,eGGz,0,2
293458,Reynor,PtitDrogo,0,2
293482,MacSed,Seventy91,2,1
293487,TooDming,INnoVation,0,2
293470,DnS,EnDerr,2,0
293469,Scarlett,Seventy91,2,0
293499,Jarppi,TIME.sc2,0,1
293461,PSiArc,iAsonu,0,2
293502,Jarppi,Demigod,0,1
293505,Jarppi,Rail,0,2
293507,TIME.sc2,Kelazhur,2,0
293511,Jarppi,Kelazhur,0,1
293454,Probe,Reynor,0,2
293508,Jarppi,SortOf,0,2
293500,Kelazhur,Demigod,2,0
293496,TooDming,Stephano,2,0
293486,Yohilo,GogojOey,0,2
293459,Ryu.sc2,iAsonu,0,2
293479,Bly,DnS,0,2
293478,Scarlett,MacSed,2,0
293460,Probe,PtitDrogo,0,2
294176,EterNaL.sc2,Stephen.au,3,1
293452,Sioras,DRAGER,2,0
293434,SpeCial.Sc2,Crimson,2,0
293433,Maru,Demi,2,0
293445,RiSky.Sc2,Dark.Sc2,0,2
293432,puCK,Crimson,2,0
293415,Lambo,Lobo,2,1
293414,StriKE.th,Souleer,0,2
293395,msrm,MaSa,1,2
293432,puCK,Crimson,2,0
293435,MeomaikA,puCK,1,2
293422,Souleer,MaNa,0,2
293415,Lambo,Lobo,2,1
293407,Neeb,Harstem,2,0
293400,Serral,ShoWTimE.,2,0
293438,SpeCial.Sc2,MeomaikA,2,1
293439,RiSky.Sc2,DRAGER,2,0
293437,Demi,puCK,0,2
293436,Maru,Crimson,2,0
293399,msrm,Neeb,0,2
293427,Maru,MeomaikA,0,2
293426,Demi,SpeCial.Sc2,0,2
293423,Lobo,Replicant,2,0
293409,Lambo,MaNa,0,2
293444,Has,Sioras,2,0
293453,Dark.Sc2,Elazer,2,1
293408,ShoWTimE.,MaSa,2,0
293394,Serral,Harstem,2,0
293443,DRAGER,Dark.Sc2,1,2
293431,MeomaikA,Demi,2,1
293451,RiSky.Sc2,Has,0,2
293421,Lambo,StriKE.th,2,0
293411,Souleer,Lobo,0,2
293450,Elazer,DRAGER,2,1
293420,Replicant,MaNa,0,2
293405,MaSa,Harstem,1,2
293441,Sioras,Dark.Sc2,0,2
293396,Neeb,ShoWTimE.,2,0
293446,Elazer,Sioras,2,0
293406,Serral,msrm,2,0
293416,Replicant,Souleer,0,2
293413,MaNa,Lobo,2,0
293428,puCK,SpeCial.Sc2,0,2
293398,Harstem,ShoWTimE.,2,1
293425,Crimson,MeomaikA,1,2
